City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
258,biak,-0.9131,122.8766,298.47,25.32000000000005,83,93,2.56,ID,1674818729
259,didi lilo,41.7361,44.9647,275.03,1.8799999999999955,52,0,2.06,GE,1674818730
260,songea,-10.6833,35.65,300.17,27.02000000000004,54,84,2.04,TZ,1674818730
261,anadyr,64.75,177.4833,259.43,-13.71999999999997,78,100,12.0,RU,1674818717
262,laguna,38.421,-121.4238,282.09,8.939999999999998,91,0,1.54,US,1674818731
263,sola,-13.8833,167.55,301.06,27.910000000000025,78,97,5.57,VU,1674818731
264,tyup,42.7276,78.3648,266.31,-6.839999999999975,86,6,1.72,KG,1674818732
265,ponta delgada,37.7333,-25.6667,286.55,13.400000000000034,71,75,3.09,PT,1674818732
266,petropavlovsk-kamchatskiy,53.0452,158.6483,268.48,-4.669999999999959,68,75,3.0,RU,1674818492
267,codrington,-38.2667,141.9667,289.69,16.54000000000002,72,0,2.75,AU,1674818733
268,alikalia,9.1667,-11.4,304.26,31.110000000000014,49,67,0.78,SL,1674818733
269,tuy hoa,13.0833,109.3,295.53,22.379999999999995,85,78,7.26,VN,1674818712
270,santa maria,-29.6842,-53.8069,294.76,21.610000000000014,100,100,2.06,BR,1674818735
271,preobrazheniye,42.9019,133.9064,258.41,-14.739999999999952,69,25,4.95,RU,1674818735
272,ancud,-41.8697,-73.8203,283.34,10.189999999999998,82,14,1.09,CL,1674818736
273,itoman,26.1247,127.6694,286.16,13.010000000000048,67,75,16.98,JP,1674818736
274,harper,4.375,-7.7169,302.06,28.910000000000025,70,33,3.11,LR,1674818736
275,bafra,41.5678,35.9069,288.61,15.460000000000036,37,49,3.91,TR,1674818736
276,mareeba,-17.0,145.4333,297.28,24.129999999999995,95,95,1.23,AU,1674818737
277,carahue,-38.7,-73.1667,282.64,9.490000000000009,94,14,0.22,CL,1674818737
278,wajima,37.4,136.9,274.26,1.1100000000000136,82,100,10.23,JP,1674818481
279,port hardy,50.6996,-127.4199,280.25,7.100000000000023,93,100,5.14,CA,1674818738
280,guerrero negro,27.9769,-114.0611,285.52,12.370000000000005,40,89,1.91,MX,1674818738
281,georgetown,5.4112,100.3354,302.17,29.02000000000004,74,20,2.57,MY,1674818739
282,royal palm beach,26.7084,-80.2306,291.48,18.33000000000004,73,75,5.14,US,1674818739
283,colesberg,-30.72,25.0972,304.88,31.730000000000018,19,1,6.58,ZA,1674818740
284,buarcos,40.166,-8.8768,283.52,10.370000000000005,66,0,4.45,PT,1674818741
285,nhulunbuy,-12.2333,136.7667,301.49,28.340000000000032,83,40,0.0,AU,1674818741
286,lalmohan,22.3384,90.7419,299.73,26.58000000000004,43,17,5.11,BD,1674818741
287,hornepayne,49.2138,-84.7705,253.3,-19.849999999999966,97,97,2.4,CA,1674818742
288,gobabis,-22.45,18.9667,304.77,31.620000000000005,20,6,4.0,,1674818742
289,labuan,5.2767,115.2417,301.35,28.200000000000045,83,20,3.6,MY,1674818577
290,coihaique,-45.5752,-72.0662,282.49,9.340000000000032,81,75,0.0,CL,1674818742
291,maltahohe,-24.8333,16.9833,305.31,32.160000000000025,23,75,3.53,,1674818743
292,moba,33.2288,105.0179,271.24,-1.9099999999999682,26,15,1.07,CN,1674818744
293,san rafael,-34.6177,-68.3301,294.84,21.689999999999998,45,50,5.03,AR,1674818744
294,lianzhou,24.7811,112.3825,280.32,7.170000000000016,42,50,2.74,CN,1674818744
295,carutapera,-1.195,-46.02,296.1,22.950000000000045,97,100,3.53,BR,1674818745
296,aviles,43.5547,-5.9248,284.22,11.07000000000005,72,40,4.12,ES,1674818745
297,shenzhen,22.5455,114.0683,288.23,15.080000000000041,39,96,7.16,CN,1674818745
298,grand gaube,-20.0064,57.6608,302.37,29.220000000000027,83,100,1.34,MU,1674818746
299,hervey bay,-25.2986,152.8535,298.57,25.420000000000016,80,77,4.09,AU,1674818746
300,yulara,-25.2406,130.9889,302.11,28.960000000000036,45,100,4.24,AU,1674818747
301,nome,64.5011,-165.4064,261.57,-11.579999999999984,92,100,11.32,US,1674818747
302,killybegs,54.6333,-8.45,279.99,6.840000000000032,84,75,4.01,IE,1674818747
303,okakarara,-20.5833,17.4333,305.5,32.35000000000002,21,34,5.23,,1674818748
304,harnosand,62.6323,17.9379,265.15,-8.0,76,91,3.64,SE,1674818748
305,teya,60.3778,92.6267,263.6,-9.549999999999955,87,100,4.85,RU,1674818748
306,kloulklubed,7.0419,134.2556,297.43,24.28000000000003,85,100,5.22,PW,1674818749
307,khani,41.9563,42.9566,280.91,7.760000000000048,23,0,1.76,GE,1674818749
308,kawalu,-7.3817,108.2082,296.97,23.82000000000005,93,100,1.18,ID,1674818750
309,roald,62.5833,6.1333,278.89,5.740000000000009,65,20,9.77,NO,1674818750
310,alofi,-19.0595,-169.9187,297.09,23.939999999999998,94,40,1.03,NU,1674818751
311,harboore,56.6175,8.1807,274.34,1.1899999999999977,90,57,0.46,DK,1674818751
312,lubango,-14.9172,13.4925,295.45,22.30000000000001,56,94,2.28,AO,1674818751
313,kitui,-1.367,38.0106,300.09,26.939999999999998,42,43,4.15,KE,1674818752
314,norman wells,65.282,-126.8329,255.17,-17.97999999999999,78,100,6.69,CA,1674818752
315,college,64.8569,-147.8028,254.12,-19.029999999999973,78,75,0.0,US,1674818753
316,copiapo,-27.3667,-70.3333,287.98,14.830000000000041,78,1,0.6,CL,1674818753
317,vengerovo,55.6848,76.7471,265.54,-7.609999999999957,92,100,6.22,RU,1674818753
